value,anomaly_score,label
-0.0074844428030938,inf,1
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646618e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.0882463148646663e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,inf,1
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
-1.088246314864672e+281,0.0,0
